id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
1022,"Comedy, Romance","Dave Garroway, Henry Morgan, Gina Gillespie, Steve Forrest, Steve McCormick, Philip Coolidge, Garry Moore, Walter Greaza, Jack Lemmon, Russ Brown, Parker Fennelly, Max Showalter, Teddy Rooney, Ernie Kovacs, Jack Carter, Napoleon Whiting, Mary Wickes, Jayne Meadows, Doris Day, Bill Cullen, Dick Crockett, John Cecil Holm, Betsy Palmer, Robert Paige",Richard Quine,"Max Wilk, Norman Katkov",Columbia Pictures,"Martin Melcher, Richard Quine",en,97,6.1
1023,Comedy,"Mick Slaney, Tim Charles, Lyne Renee, Adrian Klein, Roger Allam, Benedict Taylor, Richard Glover, Scott Chambers, Bruno Enrique, Tim McInnerny, Fiona Shaw, Geraldine Somerville, Jade Clarke, Sebastian Croft, A.k. Steppa, Russell Tovey, Deborah Rock, Andrew Alexander, Emma Curtis, Thaila Zucchi, Amy Marchant, Daniel Eghan, Matthew Modine, Emily Berrington, John Standing, Paul Bown, Dean Ridge, Adrian Bouchet, Rod Glenn, Simon Markey, Claire Lacey, Tommy Knight, Jo Wheatley, Ruth Shaw, Issy van Randwyck, Amanda Holt, Johanna Smitz, Claire Ashton, Emma West",John Jencks,"Tom Hodgson, Stephen Fry, Blanche McIntyre",The Electric Shadow Company,"Alexa Seligman, Jay Taylor",en,86,6.397
1024,"Action, Romance","Thiyagu, Manorama, Vijayakanth, Khushboo, R. Sarathkumar, Nizhalgal Ravi, Radha Ravi, Vadivukarasi, Shobana",R. Sundarrajan,"Panchu Arunachalam, R. Sundarrajan",Raajeswari Productions,Rajeshwari Sundarrajan,ta,138,5
1025,Romance,"Philippe Visconti, Mathilda Reynier, Serena Monti, Angela Tiger, Linda Paris, Benoit Clerc, Adeline Lange, Julien Lefrant",Étienne Dhaene,"Céline Guyot, Martin Guyot",,,fr,91,1
1026,Documentary,,Richard Kuipers,,,,en,63,5
1027,Comedy,"Alain Doutey, Jérémie Elkaïm, Gaëla Le Devehat, Jacqueline Noëlle, Sarah Marshall, Violette Palcossian, Sylvia Kristel, Gautier About, Charlotte Mayeur, Virginie Lanoué, Virginie Bordes, Emilien Lafitte, Matthias Van Khache, Sandrine Alexi, Armelle Deutsch, Julien Baumgartner, Caroline Mouton, Arielle Sémenoff",Stéphane Kazandjian,Stéphane Kazandjian,"Delante Films, Pathé Image Production, M6 Films, Gimages 4, Natexis Banques Populaires Images 2, Canal+, M6","Pierrick Goter, Caroline Adrian, Antoine Rein",fr,90,3.9
1028,"Action, Comedy","Du Yiheng, Jaycee Chan, Xie Na, Hao Dang, Pace Wu, Ma Jingjing, He Gang, Francis Ng, Dang Haoyu","Francis Ng, Marco Mak Chi-Sin",Wei Junzi,,Wang Zhonglei,en,89,5.1
1029,"Action, Drama","Grazia Narciso, Frank Gorshin, Judy Bamber, Bill Welsh, Don Shelton, Paul Blaisdell, Dorothy Bruce, John Ashley, Russ Bender, Tommy Ivo, Steven Terrell, Tito Vuolo, Fay Spain",Edward L. Cahn,Lou Rusoff,"Golden State Productions, American International Pictures","Samuel Z. Arkoff, Alex Gordon",en,69,5.5
1030,"Documentary, War",Abu Osama,Talal Derki,,"BASIS BERLIN Filmproduktion, Ventana Film","Geralyn White Dreyfous, Jenny Raskin, Dan Cogan, Eva Kemme, Hans Robert Eisenhauer, Tobias Siebert, Ansgar Frerich",ar,99,7
1031,Comedy,"Alain Doutey, Béatrice Costantini, Nathalie Corré, Esse Lawson, Franck Dubosc, Pierre Palmade, François Morel, SoKo, Christian Pereira, Arielle Sémenoff, Thierry Lhermitte, Giovanna Mezzogiorno, Julie Judd, Élodie Hesme, Marthe Villalonga, Marc Samuel, Bernard Yerlès, Annie Grégorio, Arnaud Giovaninetti",Marie-Anne Chazel,"Marie-Anne Chazel, Benjamin Legrand",,,fr,93,4
1032,"Crime, Drama, Thriller","Jimmy Sharma, Adi Irani, Amit Mehra, Rakhi Sawant, Sania Punnu",Aziz Zee,,,,hi,140,5
1033,Documentary,"Arthur Agee, Steve James, Spike Lee, Gene Pingatore, Dick Vitale, Bobby Knight, William Gates, Isiah Thomas",Steve James,"Frederick Marx, Steve James","Fine Line Features, Kartemquin Films","Frederick Marx, Catherine Allan, Peter Gilbert, Steve James",en,174,7.6
1034,Comedy,"Everett Glass, Carol Nugent, June Hedin, Mario Siletti, Edward Arnold, Myrna Loy, William Forrest, Willis Bouchey, Cecil Weston, Jeanne Crain, Barbara Bates, Robert Adler, Debra Paget, Robert Arthur, Dick Rich, Hoagy Carmichael, Teddy Driver, Lori Lanegger, Verna Felton, Martin Milner, Maudie Prickett, Jimmy Hunt, Jack Larson, Tommy Ivo, Jeffrey Hunter, Anthony Sydes, Tina Thompson, Clay Randolph, Robert Easton, Clifton Webb",Henry Levin,"Ernestine Gilbreth Carey, Phoebe Ephron, Henry Ephron, Frank B. Gilbreth Jr.",20th Century Fox,Samuel G. Engel,en,89,7.2
1035,,"YuanFufu, Jessie Li, Dong Zijian, Zhong Chuxi, Liu Mengmeng",Kevin Ko,Ren Peng,Beijing Culture,,zh,105,7.7
1036,"Action, Thriller","Sean Rogers, Edgertong Grahan, Vanessa Yeung, Yip Chi-Hung, Thomas Hudak, Michael Preiss, Grant Thatcher, Sam Wong Ming-Sing, Alistair Scott, Kelly Chen, Chan Wing-Chi, Martyn Penny, Ekin Cheng Yee-Kin, Asuka Higuchi, Jack Eden, Jordan Chan, David James, Bradley James Allan, Terence Yin, Peter Baldwin",Jingle Ma Choh-Sing,"Chow Siu-Man, Lo Chi-leung, Calvin Poon Yuen-Leung",Orange Sky Golden Harvest,Jackie Chan,cn,89,4.2
1037,Horror,"Kevin Schiele, Pablo Tur, Sergio Mazurek, Rodrigo Aragón, Javier Gorleri, Eugenia Rosales, Alicia Vidal, Enrique Liporace, Marcos Montes, Patricia Gómez, Gonzalo Alfonsin, Carlos Torrado, Hugo Halbrich, Veronica Mari, Mimi Rivera",Daniel de la Vega,Demián Rugna,"Buenos Aires Rojo Shocking, Furia Films","Horacio D'Annunzio, Dardo Ferrari, Daniel de la Vega, Uriel Barros",en,88,2.5
1038,Documentary,,"Filippo Gastaldi, Krishna Agazzi","Filippo Gastaldi, Krishna Agazzi",,,en,73,8
1039,"Horror, Mystery","Max Golightly, Jere Clames, Babetta Dick, H.E.D. Redford, Logan Field, Oscar Rowland, Mike Brennan, Ruth Warrick, Beti Trauth, Victor Arnold, Duane Southwick, Terrell Dougan, Gabriel Walsh, Nancy Hendrickson, Rick Barker, Yvonne Robertson, Vicki Gunn, Susan Strasberg, Fred Schwab, Paul Nichols, Coleman Creel, Allen McCullough, Barbara Kerwin, Lucius M. Ward, Mostea Oshley, Jay Bernard",Joel Bender,Patrick Nash,Willow Productions Company,"Patrick Dillon, Sally Faile",en,90,2.833
1040,"Documentary, Fantasy","Bart La Rue, Fernand Navarra, Curt Lowens",Bart La Rue,Bart La Rue,"Janus of Hollywood, Rainbow Adventure Film, American National Enterprises",Bart La Rue,en,93,5
1041,Comedy,"Grégoire Bonnet, Bastian Malka, François Bureloup, D'Jal, Carmen Santos, Serge Da Silva, José Da Silva, Aurélie Boquien, Khalid Maadour, Bruno Sanches, Franck Migeon, Eric da Costa, Hugo Bariller, Pierre Azéma, Wesley Weigel, Sarah Perles, Farida Ouchani",Frank Cimière,"Frank Cimière, D'Jal","Moana Films, Coupains Production",Christine De Jekel,fr,94,3.7
1042,"Western, Adventure, TV Movie","Hector Elias, Cosmo Sardo, James Bacon, Candi Brough, Ross Martin, Sandy Helberg, Edward Jenson, Avery Schreiber, Ric Drasin, Robert Conrad, Emma Samms, Jonathan Winters, Dave Madden, Victor Buono, René Auberjonois, Liz Torres, Randi Brough, David S. Cass Sr., Joe Alfasa, John Furlong, Tony Epper, Rex Pearson, Gino Conforti, Harry Morgan, Joyce Brothers, Jack LaLanne, Richard Hawk, Casey Tibbs",Burt Kennedy,"William Bowers, Tony Kayden",CBS Entertainment Productions,"Robert L. Jacks, Jay Bernstein",en,94,5.75
1043,,,,,,,en,92,5
1044,"Romance, Drama, TV Movie","Neil Crone, Kate Drummond, Ipsita Paul, Andrew W. Walker, Ana Golja, Julie Berman, Gail O'Grady",Bradley Walsh,Matthew Coppola,Hideaway Pictures,"Amy Krell, Matthew Coppola, Eric Jarboe, Susie Belzberg Krevoy, David Anselmo, Jimmy Townsend, Brad Krevoy, Amanda Phillips Atkins, Bradley Walsh",en,90,6.5
1045,"Drama, Romance","Andrea Navedo, Michael Hyatt, Manny Pérez, Callie Thorne, Danny Hoch, Roberto Sanchez, Bobby Cannavale, Jamie Tirelli, Judy Reyes, Sara Ramirez, Tomas Milian, Jude Ciccolella, David Zayas",Alfredo De Villa,"Nat Moss, Alfredo De Villa, Junot Diaz, Manny Pérez","Stolen Car Productions, Ex-Bo Productions, AsDuesDon","Luis Dantas, Jon Rubinstein, Manny Pérez, Peter Newman, Joseph La Morte, Alfredo Rodriguez de Villa, Tom Donahue, Greg Johnson, Steven J. Brown",en,89,8.5
1046,Comedy,"Ali Tutal, İlhan Daner, Nejat Birecik, Başak Üstündağ, Sinem Ergin, Sümer Tilmaç, Necip Memili, Emrah Kolukısa, İlker Ayrık, Yakup Konca, Erkan Üçüncü, Ercan Bostancıoğlu, Erdoğan Tuncel, Müjdat Gezen, Erdem Baş, Mustafa Şen, Gülçin Santırcıoğlu, Şafak Sezer, Tamer Karadağlı, Yaşar Üzer",Süleyman Nebioğlu,Süleyman Nebioğlu,,,tr,95,6.1
1047,Documentary,,João Moreira Salles,João Moreira Salles,VideoFilmes,,pt,80,7.6
1048,Music,"Scott Higham, Peter Gee, Nick Barrett, Clive Nolan",,,,,en,161,4.2
1049,Drama,"Jürgen Morche, Manca Košir, Vlado Novak, Nerine Kidd, Majda Potokar, Peter Boštjančič, Tanja Ribič, Gudrun Gabriel, Dragana Mrkić, Tonka Rozanc, Svetozar Polič, Zeljko Ivanek, Maruša Oblak",Karpo Aćimović Godina,Branko Vučićević,Viba film,,sl,98,8
1050,"Drama, Fantasy, Horror","Yuriko Hirooka, Shôta Koike, Fumiko Watanabe, Ken'ichi Yajima, Torakichi Watanabe, Kiyohide Ohtani, Shingo Seto, Shungicu Uchida, Masahiro Motoki, Bin Moritsuka, Yôsuke Imanaka, Kyôko Mayuzumi, Mieko Igarashi, Tadanobu Asano, Hisako Ôkata, Renji Ishibashi, Midori Yamamoto, Koinojô Nishikawa, Takuya Muramatsu, Shôko Nakahara, Masao Imafuku, Yuki Inomata, Masayoshi Deguchi, Ken'ichirô Hoshino, Shigeko Yabashi, Kim Soo-jin, Hikaru Yoshikawa, Shiho Fujimura, Katsuichi Inoue, Kokoro Awata, Naoto Takenaka, Mariko Ohara, Kôji Tsukamoto, Eri Yu, Masatora Ishikawa, Ryo, Yûsuke Umemoto, Takahiro Murase, Akira Endô, Gai Takizawa, Tomi Segawa, Masako Motai, Mineko Yorozuyo, Tomorowo Taguchi, Tomoko Kimura, Fusaaki Katô, Naoko Tanimoto, Akaji Maro, Yûta Takihara, Minoru Hirano, Hajime Nakaarai, Aiko Masuyama, Yûnosuke Ômi, Tatsunori Matsuda, Jun Murakami, Isao Takeno, Yukito Mizoguchi, Kazuko Suzuki, Chika Kimura, Hitoshi Takagi, Yasutaka Tsutsui, Hiromi Kuronuma, Naoko Yamanouchi, Sanae Akimoto, Nobuyo Tsuda",Shinya Tsukamoto,"Shinya Tsukamoto, Rampo Edogawa","Marubeni, Kaijyu Theater","Tomoyuki Tsuruoka, Toshiaki Nakazawa, Yasuhiko Furusato, Futoshi Nishimura",ja,84,6.7
1051,,"Burt Reynolds, Hayley DuMond, 'Wild' Bill Mock, Andrew Hawkes, Pat Hingle, Ann Wedgeworth, Charles Napier, Keith Carradine, Willie C. Carpenter, Brion James, April Grace",Richard Weinman,"John Huff, Richard Weinman, William Kemper, L. Ford Neale",,"William Kemper, Howard Smith, Jack Chartoff",en,104,5.7
1052,"Drama, Romance, Family","Cheng Guo, Cecilia Yip, Tony Leung Ka-fai, Ni Dahong, Kara Wai Ying-Hung",Yan Han,"Jinliang Han, Yan Han","Lianray Pictures, HG Entertainment, China Film Group Corporation, Shanghai Film Group",,zh,116,7.1
1053,"Science Fiction, Action, Adventure, Thriller","Lee Ga-kyung, Heo Joon-ho, Jung Won-joong, Lee Dong-ha, Shin Eun-soo, Han Hyo-joo, Choi Jin-ho, Kim Moo-yul, Gang Dong-won, Park Kyung-man, Lee Je-yeon, Jung Woo-sung, Kim Sung-gon, Jang Won-hyung, Lee Seol-gu, Bae Seong-min, Park Byung-eun, Han Yeri, Jung Hyung-suk, Park Joo-hee, Jang Yeo-bin, Minho, Kim Pub-lae",Kim Jee-woon,"Jeon Cheol-hong, Mamoru Oshii, Lee Ji-min, Kim Jee-woon","Lewis Pictures, Union Investment Partners, Warner Bros. Korea, Warner Bros. Pictures, Bandai Namco Arts","Lewis Taewan Kim, Samuel Yeunju Ha, Choi Jae-won, Kim Woo-sang",ko,138,6.331
1054,Comedy,"Lee Grant, William Newman, Tim Kazurinsky, Maury Cooper, Sally Stark, Robert Nichols, Seth Green, Brian Evers, Parnell Hall, Adrienne Meltzer, Hugh Hurd, Scott Schutzman Tiler, Michael Cullum, Mordecai Lawner, Rik Colitti, Mary Tanner Bailey, Jim Lovelett, Charley Steiner, Rick Aviles, Robert Earl Jones, Dave Johnson, Michael Goffin, Harry Madsen",Alexander Grasshoff,"Sandy Russell Gartin, Mary Rodgers",Comworld Productions,"Sandy Russell Gartin, Ned Kandel, Robert Bordiga",en,94,6
1055,"History, Action, War","Seong Yu-bin, Jo Woo-jin, Ryu Jun-yeol, Kim Kyu-baek, Yoo Hai-jin, Park Seung-jun, Lee Jae-in, Park Ji-hwan, Choi Yu-hwa, Choi Min-sik, Hong Jin-gi, Kotaro Daigo, Hiroyuki Ikeuchi, Won Jin, Kang Jun-seok, Won Pung-yeon, Park Hee-soon, Seo Jeong-sik, Kazuki Kitamura, Kang Min-tae, Yoon Byung-hee, Lee Dong-yong",Won Shin-yeon,"Cheon Jin-wu, Lee Yoon-ho, Yoon Hong-gi","Showbox, W-Pictures, Big Stone Pictures","Hwang Sun-il, Kim Han-min, Simon Lee, Kim Do-su, Won Shin-yeon, Kim Tae-Won, Kim Tae-hun",ko,135,7.05
1056,Drama,"Nikolay Eryomenko, Aleksei Buldakov, Irina Feofanova, Andrey Dudarenko, Vera Alentova, Valeri Filatov, Vladimir Gostyukhin","Nikolay Eryomenko, Margarita Kasymova","Margarita Kasymova, Valentin Chernykh","Belarusfilm, Mosfilm",Viktor Glukhov,ru,82,6
1057,Horror,"Emilio Gutiérrez Caba, Ana Godoy, Sun de Sanders, Carlos Lemos, Dyanik Zurakowska, Tota Alba, Víctor Israel, Paco Morán",Javier Setó,,L. M. Films,,es,88,6.3
1058,Documentary,"Tim Noakes, TJ Belger, Dr Justin Mager, Pattrick Sweeney, Dr. Peter Brukner, Donal O'Neill, Shane Watson, Dr Jeff Volek, Dr Otto Thaning, Bruce Fordyce, Andy Moran, David Warner, Dana Magenau, Sami Inkinen, Sean Boyle, Merdith Loring, Stephen Phinney, Dr. Philip Mills",Yolanda Barker,Donal O'Neill,"Cape Crusaders, The [gb]",,en,61,8
1059,Documentary,"Andrew Lokenauth, Alan Depa, David Gerard, Amy Castor",Sheona McDonald,Sheona McDonald,Dimestore Productions,Sheona McDonald,en,78,7.6
1060,"Documentary, Horror",,Nick Bougas,,,,en,88,5.125
1061,"Drama, Fantasy","Sajoão, Marcelo Souza e Silva, Conrado Helt, Leandro Faria Lelo, Thiago Silva, Marcelo D'Avilla, Guilhotina Guinle, Rafael Teóphilo, Allan Jacinto Santana, Renata Carvalho, Mel Gonçalves, Larissa Sisterolli, Bruno Fernandes, Del Neto, Wilker Rodrigues",Daniel Nolasco,Daniel Nolasco,Panaceia Filmes,"Lidiana Reis, Deivid Rodrigues, Daniel Nolasco",pt,110,5.9
1062,,,,,,,en,100,10
1063,Music,,,,Frontiers Records,Mat Sinner,en,89,8
1064,Action,"Gerard Hovagimyan, Paula Humphrey, Arthur Abrams, Kiki Smith, George David Gonzalez, Nathan Ingram, Miguel Villanueva, Freddy Rivera",Charlie Ahearn,Charlie Ahearn,,,en,77,6.25
1065,Comedy,Billy Connolly,Nobby Clark,,Universal Pictures,John Reid,en,90,8
1066,"Comedy, History","Kevin Willmott, Trai Byers, George Forbes, Wes Studi, Danielle Cooper, Tosin Morohunfola",Kevin Willmott,Kevin Willmott,,Kevin Willmott,en,98,6.5
1067,"Thriller, Horror","Maya Gilbert, Chad Mathews, Jourdan Van Eman, Cassidy Brown, Benjamin Lee Estavan, B.J. Ledet, Daver Morrison, Ramon Hamilton, Danika Sudik",Ramon Hamilton,"Ramon Hamilton, Jennifer Fischer, Dani Dixon",Mountain View Pictures,,en,90,5
1068,Horror,"Michael Laurence, Mia Soteriou, Dickie Beau, Robert Shannon, Siobhan Hewlett, Eugenia Caruso, Matthew Leitch, Charlotte Pyke, Olegar Fedoro, Emily Corcoran, Adam Leese",Julio Maria Martino,David Hauptschein,,Saba Kia,en,105,2
1069,,"Thales Pan Chacon, José Carlos Leal, Sylvia Klein",Carla Camurati,"Carla Camurati, Giovanni Battista Pergolesi",,Carla Camurati,it,70,6.5
1070,Comedy,"Sotiris Moustakas, Natasa Gerasimidou, Rena Pagrati, Vasilis Bouyiouklakis, Toni Antoni, Ilias Konstadinou, Nana Veneti, Stella Konstadinidou, Kostas Makedos",Omiros Efstratiadis,Giannis Sklavos,Giorgos Karagiannis & Co.,,el,90,5.4
1071,Drama,"Mizuki Yamashita, Zenki Aramaki, Kazue Minami, Ritsuko Okusa, Fuyuka Kooriyama, Mikako Tabe, Shingo Tsurumi, Saya Kawamura, Haru Kuroki, Kasakumi, Kirin Kiki, Megumi Takizawa, Chihiro Okamoto, Sasha Ueda, Mayu Tsuruta, Mayu Harada",Tatsushi Ōmori,"Tatsushi Ōmori, Noriko Morishita",Yoake Pictures,Tomomi Yoshimura,ja,100,7.3
1072,Science Fiction,"Stanisław Igar, Ruth-Maria Kubitschek, Kurt Rackelmann, Ignacy Machowski, Eduard von Winterstein, Werner Senftleben, Michail N. Postnikow, Karen Fredersdorf, Nico Turoff, Günther Simon, Lucyna Winnicka, Julius Ongewe, Hua-Ta Tang, Artur Młodnicki, Yoko Tani, Eva-Maria Hagen, Józef Pieracki, Gertraud Kreissig, Oldřich Lukeš",Kurt Maetzig,"Günter Reisch, Günther Rücker, Kurt Maetzig, Wolfgang Kohlhaase, Stanisław Lem, Alexander Stenbock-Fermor, Jan Fethke","DEFA, Crown International Pictures, ZRF """"Iluzjon""""",,de,79,4.7
1073,Western,"Charles Brinley, Art Mix, Helen Foster, Lafe McKee, Tom London, Billy Bletcher, George 'Gabby' Hayes, G. Raymond Nye, Hoot Gibson, Skeeter Bill Robbins, Hattie McDaniel, Wheeler Oakman",George Melford,Donald W. Lee,"M.H. Hoffman Inc., Allied Artists",,en,70,4
1074,"Comedy, Romance","Evan Nikolas Fields, Jeremy Hays, Emily Jordan, Matthew Lillard, Myra Molloy, Pino Martinez, Gabe De Guzman, Andrew Matarazzo, Romel de Silva, Annie Jacob, Slavik Pustovoytov, Vanessa Dubasso, Addison Rae, William B. Simmons II, Peyton Meyer, Emilie Bezler, Rachael Leigh Cook, Helen Slayton-Hughes, Isabella Crovetti, Elysandra Quinones, Hallie Samuels, Jill Basey, Heather Ann Gottlieb, Anna Marusich, Ryan Hollis, Tanner Buchanan, Antwon Keith Collier, Madison Pettis, Bianca Brewton, Kourtney Kardashian Barker, Mark Villaver, Bryce Hall",Mark Waters,R. Lee Fleming Jr.,"Miramax, Ethea Entertainment","R. Lee Fleming Jr., Nick Tran, Jennifer Gibgot, Bob Osher, Michael J. Zampino, Michael Lachance, Munika Lay, Jessica Wong, Andrew Panay, Thomas Zadra, Bill Block, Andrew Golov",en,91,6.561
1075,"Science Fiction, Comedy, Drama","John Newberg, Thea Camara, Kylie Rogers, Keiko Bell, Joe Knezevich, Christian Adam, Melanie Kiran, Nickolas Wolf, Geanna Funes, Tiffany Haddish, Larry Herring, Tony Vogel, William Jackson Harper, David E. Collier, Whitney Goin, Asante Blackk, Michael Gandolfini, Vishwas, Josh Hamilton, Brooklynn MacKinzie, Dev H Patel",Cory Finley,"M.T. Anderson, Cory Finley","Plan B Entertainment, Annapurna Pictures, Metro-Goldwyn-Mayer","Sue Naegle, Dede Gardner, Jeremy Kleiner, David Kern, Brad Pitt, Megan Ellison",en,105,6.076
1076,"Drama, Crime, Comedy","Neha Chauhan, Rajkummar Rao, Herry Tangiri, Anshuman Jha, Nushrratt Bharuccha, Aaditi Pohankar, Amit Sial, Arya Banerjee",Dibakar Banerjee,"Dibakar Banerjee, Kanu Behl","Balaji Motion Pictures, Cult Movies","Ekta Kapoor, Priya Sreedharan, Shobha Kapoor",hi,108,6.306
1077,"Romance, Comedy, Crime","CCH Pounder, Joseph Ruskin, Jack Nicholson, Beth Raines, John P. Codiglia, Anjelica Huston, Teddi Siddall, Lawrence Tierney, Luis Accinelli, Scott Campbell, Danielle Frederick, Seth Allen, Henry Fehren, Dominic Barto, Stanley Tucci, Thomas Lomanco, John Calvani, Michael Sabin, Marlene D. Williams, Murray Staff, John Randolph, Michael Fischetti, William Hickey, Themi Sapountzakis, Garry Pastore, Michael Lombard, Vic Polizos, Kenneth Cervi, Raymond Serra, Dick O'Neill, Joe Kopmar, Bill Brecht, Debra Kelly, Tomasino Baratta, Erasmus C. Alfano, Sully Boyar, Ray Iannicelli, Alexandra Ivanoff, Ann Selepegno, Rueben Gonzáles, Kathleen Turner, Nick Vallelonga, Peter D'Arcy, Skip O'Brien, Lee Richardson, Robert Loggia, Jonathan L. Arland, Michael Tuck, Theodore Theoharous, Tom Signorelli, Enzo Citarelli, Antonia Vasquez",John Huston,"Richard Condon, Janet Roach","20th Century Fox, ABC Motion Pictures",John Foreman,en,124,6.347
1078,Drama,"Huseyn Nasirov, Rana Asgarova, Orkhan Iskandarli",Hilal Baydarov,Hilal Baydarov,Ucqar Film,"Gafar Demirchi, Carlos Reygadas, Hilal Baydarov, Elshan Abbasov",az,103,6
1079,"Comedy, Science Fiction","John Joyce, Diana Ricardo, Olivier Pierre, Edward Arthur, Des Webb, Edward Wiley, André Maranne, Joanna Dickens, Jimmy Nail, Jimmy Mulville, Barbara Hicks, David Haig, Pamela Mandell, Lesa Lockford, Tim Barker, Bob Sessions, Leonard Fenton, George Innes, Peter Whitman, Bill Stewart, Michael J. Jackson, Paul Bown, Richenda Carey, Joanne Pearce, Shelley Thompson, John Clamp, Tristram Jellinek, Ronnie Stevens, Robert Austin, Miriam Margolyes, Susan Denaker, Karen Lancaster, Dinsdale Landen, Jo Ross, Angela Crow, Leslie Grantham, Robert Henderson, Roger Hammond, Christopher Northey, Griff Rhys Jones, Mark Lewis Jones, Derek Deadman, R.J. Bell, Mel Smith, Robin Driscoll, David Joss Buckley, Ian East, James Taylor, Graham Fellows, John Barcroft, Shane Rimmer, James B. Sikking",Mike Hodges,"Griff Rhys Jones, Mel Smith",Thorn EMI Screen Entertainment,"Verity Lambert, Barry Hanson",en,90,4.6
1080,Drama,"Guillermo Barrientos, Teresa Cortés, Natalia Sánchez, Paula Sebastián, José Luis García Pérez, Antonio Dechent, Roberto Enríquez, Maruxa Yusty, Elena Villaronga, Monti Castiñeiras, Jairo Rojas, Cuca Escribano, Alfredo Argimon, Curro Heredia, Celia Freijeiro, Carme Elias, Alberto Jiménez, Pilar Castro, Andrés Gertrúdix",Gerardo Herrero,"Alberto Macías, Almudena Grandes, Ángeles González-Sinde","Caixa Galicia, Canal+ España, Continental Producciones, Continental","Pancho Casal, Mariela Besuievsky, Gerardo Herrero, Antonio P. Pérez",es,117,4.8
1081,"Horror, Thriller, Mystery","Mark Schardan, Pablo Capuz, Minnie Marx, Antonio de la Cruz, Carlos Reig-Plaza, James Nield, Alex Hafner, Dylan Moreno, Almar G. Sato, Mercedes León, Silvia de Miguel, Marina Botí, Alicia Montesquiu, Enrique Arce","Enrique García, Abdelatif Hwidar, Denise Castro, Rodrigo Sancho, Kike Mesa",,,,en,108,5.583
1082,"Horror, Comedy, Thriller","Anthony Bek, Mathew Blackwood-Hume, Elizabeth Hagan, Sassin Bey, Movin Bek, Tai Scrivener, Christopher Phillips, Paul Armstrong, Steve Taylor, Jacinta Stapleton, Tarek Bek",Dwayne Labbe,Dwayne Labbe,,Aaran Creece,en,77,5.5
1083,Music,André Rieu,,,"Decca, André Rieu Studios",,en,87,7.4
1084,Comedy,"Edinho, Gil, Eliana, Afonso Stuart, Pedro Farah, John Herbert, Yoná Magalhães, Joãozinho, Ivon Cury",Watson Macedo,"Ismar Porto, Watson Macedo",Produções Watson Macedo,Watson Macedo,pt,99,5.2
1085,"Drama, Crime","Anthony Phelan, Harli Ames, Lisa McCune, Jason Chong, Joel Tobeck, Daniela Farinacci, Terry Serio, Lan Tran, Hugo Weaving, Ferdinand Hoang, Steve Vella, Cate Blanchett, Bic Runga, Anthony Brandon Wong, Lisa Bailey, Nina Liu, Dustin Nguyen, Anh Do, Martin Henderson, Linda Cropper, Susie Porter, Natasha Beaumont, Ian Roberts, Noni Hazlehurst, Sam Neill",Rowan Woods,Jacquelin Perske,"Porchlight Films, Dirty Films","Richard Keddie, Marion Pilowsky, Liz Watts, Barrie M. Osborne, Robert Mullis, Kirk D'Amico, Vincent Sheehan",en,114,5.8
1086,"Comedy, Mystery","Anabel Shaw, Marietta Canty, Barbara Whiting, Lynn Bari, Dean Stockwell, James Gleason, Pat Flaherty, Philip Morris, James Seay, Peggy Ann Garner, Stanley Logan, Olin Howland, Connie Marshall, Lenita Lane, Shepperd Strudwick, Randolph Scott",Lloyd Bacon,"Craig Rice, F. Hugh Herbert",20th Century Fox,Louis D. Lighton,en,90,6.5
1087,"Documentary, Music","Nadja Salerno-Sonnenberg, Mandy Patinkin",Paola di Florio,,,,en,73,5.7
1088,"Mystery, Thriller, Romance","Sharif Siraj, Khairul Basar, Faruque Ahamed, Sunerah Binte Kamal, Ziaul Roshan, Abdullah Shentu",Vicky Zahed,Nazim Ud Daula,,,bn,100,7.2
1089,"Drama, Romance","Čedomir Milošević, Branka Palčić, Nada Kasapić, Dragan Vladić, Miha Baloh, Miodrag Dunjić, Beba Lončar, Miloš Žutić, Borislav Radović",Aleksandar Petrović,Aleksandar Petrović,Avala Film,,sh,88,5.4
1090,"Crime, Drama","Sai Priyanka Ruth, P.L. Thenappan, Bagavathi Perumal, Lawrence Ramu, Boys Rajan, Adukalam Naren, Velu Prabhakaran, Saivam Ravi, Vishva, Daniel Balaji, E. Ramadoss, Ashok Kumar Balakrishnan",C. V. Kumar,"C. V. Kumar, Muthamil, Jay Kha Ra","Thirukumaran Entertainment, CV Kumar Productions, Star Studios",C. V. Kumar,ta,142,7
1091,"Science Fiction, Mystery, Thriller","Yukijiro Hotaru, Hideyuki Kasahara, Keiko Unno, Tetsu Sawaki, Kaori Sakagami, Yasufumi Terawaki, Sayaka Yoshino, Daijiro Kawaoka, Hassei Takano, Takeru Shibaki, Mami Shimizu, Ayana Sakai, Asumi Miwa",Ryu Kaneda,"Kouhei Kadono, Sadayuki Murai","Toei Video Company, Hakuhodo",,ja,109,5.143
1092,"Documentary, Music","Beth Hart, Brad Whitford, Tom Hamilton, Joe Perry, Joey Kramer, George Thorogood, Steven Tyler, Eric Clapton, Joe Bonamassa, B.B. King",Jon Brewer,,,Jon Brewer,en,90,7.75
1093,Documentary,,Jonathan Hock,,,,en,90,7.667
